EschmeyerName,OBISChecklist,FBName,GBIFnames,GBIF Synonym,SplitFrom,SplitYear,Group,Notes,fbATLPresent,OBIS_atlPresent,fbOBagree,isAtlantic
Platyberyx rhyton,Platyberyx rhyton,Platyberyx rhyton,"Platyberyx rhyton Stevenson & Kenaley, 2013",NA,NA,NA,S,,FALSE,FALSE,TRUE,FALSE
Pomatomus saltatrix,Pomatomus saltatrix,Pomatomus saltatrix,Pomatomus saltatrix,NA,NA,NA,S,,TRUE,TRUE,TRUE,TRUE
Promethichthys prometheus,Promethichthys prometheus,Promethichthys prometheus,Promethichthys prometheus,NA,NA,NA,S,,TRUE,TRUE,TRUE,TRUE
Psenes arafurensis,Psenes arafurensis,Psenes arafurensis,Psenes arafurensis,NA,NA,NA,S,,TRUE,TRUE,TRUE,TRUE
Psenes cyanophrys,Psenes cyanophrys,Psenes cyanophrys,Psenes cyanophrys,NA,NA,NA,S,,TRUE,TRUE,TRUE,TRUE
Psenes maculatus,Psenes maculatus,Psenes maculatus,Psenes maculatus,NA,NA,NA,S,,TRUE,TRUE,TRUE,TRUE
Psenes pellucidus,Psenes pellucidus,Psenes pellucidus,Psenes pellucidus,NA,NA,NA,S,,TRUE,TRUE,TRUE,TRUE
Psenes sio,Psenes sio,Psenes sio,Psenes sio,NA,NA,NA,S,,FALSE,FALSE,TRUE,FALSE
Psenopsis anomala,Psenopsis anomala,Psenopsis anomala,Psenopsis anomala,NA,NA,NA,S,,FALSE,FALSE,TRUE,FALSE
Psenopsis cyanea,Psenopsis cyanea,Psenopsis cyanea,Psenopsis cyanea,NA,NA,NA,S,,FALSE,FALSE,TRUE,FALSE
Psenopsis humerosus,Psenopsis humerosa,Psenopsis humerosa,"Psenopsis humerosa Munro, 1958",NA,NA,NA,S,,FALSE,FALSE,TRUE,FALSE
Psenopsis intermedia,Psenopsis intermedia,Psenopsis intermedia,"Psenopsis intermedia Piotrovsky, 1987",NA,NA,NA,S,,FALSE,FALSE,TRUE,FALSE
Psenopsis obscura,Psenopsis obscura,Psenopsis obscura,Psenopsis obscura,NA,NA,NA,S,,FALSE,FALSE,TRUE,FALSE
Psenopsis shojimai,NA,Psenopsis shojimai,Psenopsis shojimai,NA,NA,NA,S,,FALSE,FALSE,TRUE,FALSE
